ID,Type,Name,Count
0,C,Doll,11
1,B,Apple,5
2,C,Apple,10
3,N,Python,11
4,A,Free,10
5,N,Photo,37298
6,-,Apple,23912
7,N,Camera,6
8,B,Openmpi,15
9,-,Sony,23912
10,C,Free,9
11,A,Fantacy,7
12,C,Free,23912
13,B,Book,2
14,B,Free,3
15,C,Openmpi,8
16,N,Free,6
17,N,Book,9
18,C,Sony,8
19,C,Python,14
20,B,Fantacy,10
21,A,Free,3000000
22,-,Apple,23912
23,A,Fantacy,10
24,-,Sony,3
25,C,Free,8
26,B,Openmpi,14
27,C,Openmpi,3
28,A,Camera,8
29,A,Book,37298
30,N,Apple,3
31,A,Python,1
32,N,Openmpi,7
33,N,Openmpi,2
34,C,Python,10
35,-,Free,8
36,B,Apple,3000000
37,-,Python,8
38,C,Openmpi,1
39,B,Sony,4
40,B,Python,2
41,-,Openmpi,7
42,C,Camera,12
43,N,Openmpi,1092109
44,-,Openmpi,8
45,C,Book,13
46,-,Openmpi,6
47,B,Apple,23912
48,-,Doll,2
49,N,Openmpi,37298
50,C,Sony,23912
51,A,Apple,1092109
52,A,Photo,2
53,N,Camera,23912
54,-,Photo,11
55,B,Photo,1092109
56,A,Book,6
57,-,Book,66351737
58,B,Book,7
59,B,Python,1
60,A,Free,10
61,C,Book,12
62,B,Openmpi,2
63,-,Apple,14
64,-,Sony,37298
65,-,Python,13
66,-,Camera,66351737
67,B,Camera,11
68,A,Python,9
69,-,Photo,7
70,-,Apple,5
71,A,Photo,1092109
72,B,Photo,9
73,C,Book,6
74,N,Python,4
75,A,Sony,1092109
76,-,Python,12
77,C,Photo,1
78,N,Doll,6
79,A,Photo,2
80,C,Camera,1092109
81,N,Python,15
82,B,Openmpi,5
83,-,Fantacy,66351737
84,B,Doll,5
85,B,Sony,1092109
86,C,Photo,11
87,N,Photo,5
88,C,Photo,1
89,N,Free,6
90,B,Camera,12
91,A,Fantacy,3000000
92,-,Sony,23912
93,-,Sony,23912
94,-,Python,11
95,B,Python,5
96,-,Apple,23912
97,N,Doll,8
98,A,Python,8
99,A,Photo,3000000
100,C,Doll,1092109
101,-,Apple,3
102,-,Apple,23912
103,-,Free,1092109
104,B,Free,15
105,B,Book,66351737
106,B,Sony,4
107,N,Apple,9
108,C,Book,14
109,C,Openmpi,66351737
110,C,Free,15
111,-,Apple,15
112,C,Free,5
113,B,Fantacy,4
114,-,Python,23912
115,B,Free,8
116,A,Apple,10
117,B,Apple,2
118,N,Book,5
119,-,Book,23912
120,A,Python,3
121,-,Openmpi,6
122,N,Book,3000000
123,-,Fantacy,3000000
124,B,Fantacy,12
125,N,Apple,8
126,A,Free,14
127,C,Openmpi,6
128,C,Apple,1
129,N,Camera,11
130,A,Fantacy,1
131,N,Camera,66351737
132,B,Openmpi,3000000
133,C,Free,6
134,N,Free,3000000
135,-,Python,23912
136,C,Doll,10
137,N,Free,7
138,B,Python,10
139,N,Python,2
140,C,Camera,7
141,N,Free,14
142,A,Free,15
143,-,Book,37298
144,N,Python,1
145,A,Sony,3000000
146,C,Photo,15
147,N,Camera,14
148,N,Photo,7
149,-,Fantacy,6
150,A,Doll,15
151,A,Python,7
152,B,Apple,8
153,B,Book,11
154,C,Fantacy,8
155,C,Apple,8
156,-,Fantacy,1092109
157,-,Free,23912
158,N,Free,37298
159,B,Python,12
160,C,Free,7
161,N,Camera,2
162,C,Apple,15
163,B,Free,13
164,-,Book,14
165,A,Python,12
166,B,Python,10
167,A,Fantacy,9
168,B,Doll,4
169,A,Book,12
170,N,Book,23912
171,N,Doll,66351737
172,C,Sony,15
173,N,Openmpi,8
174,B,Apple,13
175,A,Doll,3
176,N,Fantacy,4
177,-,Apple,8
178,A,Python,3000000
179,A,Free,2
180,-,Fantacy,2
181,N,Free,6
182,N,Fantacy,14
183,N,Python,9
184,B,Free,66351737
185,N,Doll,10
186,-,Python,7
187,-,Book,4
188,C,Openmpi,37298
189,A,Apple,15
190,B,Book,14
191,A,Photo,1
192,-,Book,9
193,-,Sony,4
194,-,Python,2
195,N,Sony,14
196,N,Python,2
197,C,Free,2
198,-,Sony,1092109
199,A,Book,5
200,-,Doll,14
201,-,Openmpi,1
202,C,Doll,37298
203,N,Camera,11
204,C,Camera,15
205,C,Python,4
206,N,Fantacy,1
